<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
SBER,0,20170721,100029,163.800000000,860
SBER,0,20170721,100029,163.790000000,1140
SBER,0,20170721,100030,163.840000000,600
SBER,0,20170721,100032,163.830000000,10
SBER,0,20170721,100033,163.830000000,10
SBER,0,20170721,100034,163.810000000,280
SBER,0,20170721,100034,163.810000000,10
SBER,0,20170721,100034,163.810000000,490
SBER,0,20170721,100034,163.800000000,620
SBER,0,20170721,100038,163.830000000,100
SBER,0,20170721,100038,163.820000000,150
SBER,0,20170721,100039,163.820000000,5510
SBER,0,20170721,100039,163.820000000,280
SBER,0,20170721,100039,163.800000000,11610
SBER,0,20170721,100040,163.800000000,9000
SBER,0,20170721,100041,163.790000000,790
SBER,0,20170721,100042,163.790000000,330
SBER,0,20170721,100043,163.790000000,50
SBER,0,20170721,100043,163.790000000,2180
SBER,0,20170721,100043,163.790000000,820
SBER,0,20170721,100043,163.790000000,150
SBER,0,20170721,100043,163.790000000,400
SBER,0,20170721,100043,163.790000000,810
SBER,0,20170721,100046,163.790000000,4500
SBER,0,20170721,100046,163.790000000,150
SBER,0,20170721,100047,163.790000000,3880
SBER,0,20170721,100047,163.780000000,70
SBER,0,20170721,100049,163.780000000,300
SBER,0,20170721,100051,163.780000000,250
SBER,0,20170721,100052,163.790000000,350
SBER,0,20170721,100054,163.790000000,620
SBER,0,20170721,100054,163.790000000,130
SBER,0,20170721,100057,163.780000000,280
SBER,0,20170721,100057,163.780000000,1000
SBER,0,20170721,100057,163.780000000,70
SBER,0,20170721,100057,163.770000000,330
SBER,0,20170721,100057,163.750000000,200
SBER,0,20170721,100057,163.740000000,1240
SBER,0,20170721,100057,163.740000000,880
SBER,0,20170721,100057,163.750000000,350
SBER,0,20170721,100058,163.750000000,100
SBER,0,20170721,100059,163.750000000,100
SBER,0,20170721,100100,163.750000000,1000
SBER,0,20170721,100100,163.740000000,690
SBER,0,20170721,100100,163.740000000,50
SBER,0,20170721,100100,163.730000000,1000
SBER,0,20170721,100101,163.730000000,1000
SBER,0,20170721,100101,163.730000000,1000
SBER,0,20170721,100101,163.730000000,1000
SBER,0,20170721,100101,163.730000000,380
SBER,0,20170721,100102,163.730000000,1800
SBER,0,20170721,100102,163.730000000,1200
SBER,0,20170721,100102,163.720000000,1000
