<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,1,20180103,10:44:00,1168.0500000,1168.2600000,1167.8400000,1168.2600000,554687
RI.RTSI,1,20180103,10:45:00,1168.3200000,1168.7000000,1167.8900000,1168.4700000,669121
RI.RTSI,1,20180103,10:46:00,1168.5000000,1168.6800000,1168.2800000,1168.3600000,369418
RI.RTSI,1,20180103,10:47:00,1168.3900000,1168.6700000,1168.3800000,1168.5200000,398431
RI.RTSI,1,20180103,10:48:00,1168.5500000,1168.7800000,1168.4200000,1168.4600000,231382
RI.RTSI,1,20180103,10:49:00,1168.4700000,1168.6000000,1168.0600000,1168.0900000,471009
RI.RTSI,1,20180103,10:50:00,1168.2000000,1168.3300000,1167.9900000,1168.1400000,396035
RI.RTSI,1,20180103,10:51:00,1168.1400000,1168.3100000,1168.0300000,1168.1300000,420292
RI.RTSI,1,20180103,10:52:00,1168.1600000,1168.4600000,1168.0800000,1168.4400000,399362
RI.RTSI,1,20180103,10:53:00,1168.4400000,1168.6700000,1168.2700000,1168.3700000,207211
RI.RTSI,1,20180103,10:54:00,1168.3800000,1168.4100000,1168.2100000,1168.2100000,176991
RI.RTSI,1,20180103,10:55:00,1168.2100000,1168.5600000,1168.2100000,1168.5000000,141878
RI.RTSI,1,20180103,10:56:00,1168.5000000,1168.5100000,1168.1900000,1168.2300000,186230
RI.RTSI,1,20180103,10:57:00,1168.2400000,1168.3200000,1168.0600000,1168.1700000,323530
RI.RTSI,1,20180103,10:58:00,1168.1700000,1168.1900000,1167.9200000,1167.9700000,260570
RI.RTSI,1,20180103,10:59:00,1167.9600000,1168.4300000,1167.5500000,1168.4300000,341938
RI.RTSI,1,20180103,11:00:00,1168.4300000,1168.5700000,1168.1900000,1168.3100000,577913
RI.RTSI,1,20180103,11:01:00,1168.3000000,1169.4700000,1168.2400000,1169.4600000,3245876
RI.RTSI,1,20180103,11:02:00,1169.4400000,1169.6800000,1169.1500000,1169.4300000,1910747
RI.RTSI,1,20180103,11:03:00,1169.4300000,1169.9800000,1169.4000000,1169.7900000,1399803
RI.RTSI,1,20180103,11:04:00,1169.7800000,1170.0100000,1169.6100000,1169.9300000,1157387
RI.RTSI,1,20180103,11:05:00,1170.0200000,1170.1300000,1169.5000000,1169.9200000,1336966
RI.RTSI,1,20180103,11:06:00,1170.0200000,1170.1700000,1169.7900000,1170.1700000,496227
RI.RTSI,1,20180103,11:07:00,1170.1900000,1171.0600000,1169.9800000,1170.8100000,1443693
RI.RTSI,1,20180103,11:08:00,1170.8100000,1170.8100000,1169.6400000,1169.9500000,916711
RI.RTSI,1,20180103,11:09:00,1169.9700000,1170.6500000,1169.7800000,1170.6500000,830978
RI.RTSI,1,20180103,11:10:00,1170.6900000,1171.3900000,1170.6900000,1171.2600000,1642408
RI.RTSI,1,20180103,11:11:00,1171.2600000,1171.5100000,1170.9700000,1171.3400000,1210263
RI.RTSI,1,20180103,11:12:00,1171.3400000,1171.6500000,1171.1900000,1171.3700000,1384467
RI.RTSI,1,20180103,11:13:00,1171.3300000,1171.7100000,1171.3200000,1171.7100000,771117
RI.RTSI,1,20180103,11:14:00,1171.7600000,1172.0600000,1171.7400000,1172.0600000,893549
RI.RTSI,1,20180103,11:15:00,1172.0700000,1172.1700000,1171.4800000,1171.7200000,1387145
RI.RTSI,1,20180103,11:16:00,1171.6600000,1172.2200000,1171.6200000,1171.9800000,654315
RI.RTSI,1,20180103,11:17:00,1171.9200000,1172.3400000,1171.1100000,1172.0500000,2578776
RI.RTSI,1,20180103,11:18:00,1172.0300000,1172.3300000,1171.6300000,1172.0700000,839818
RI.RTSI,1,20180103,11:19:00,1172.0500000,1172.3700000,1171.9600000,1172.3700000,327167
RI.RTSI,1,20180103,11:20:00,1172.3600000,1172.4300000,1172.0200000,1172.0400000,326382
RI.RTSI,1,20180103,11:21:00,1172.0300000,1172.0300000,1171.5100000,1171.5100000,567767
RI.RTSI,1,20180103,11:22:00,1171.5300000,1171.9100000,1170.3600000,1171.7200000,1466080
RI.RTSI,1,20180103,11:23:00,1171.7200000,1172.1700000,1171.5300000,1171.9300000,631287
RI.RTSI,1,20180103,11:24:00,1171.9600000,1172.1400000,1170.6300000,1170.6300000,1387132
RI.RTSI,1,20180103,11:25:00,1170.5900000,1171.2400000,1170.5600000,1171.2400000,363768
RI.RTSI,1,20180103,11:26:00,1171.2500000,1171.9600000,1171.2400000,1171.4800000,963625
RI.RTSI,1,20180103,11:27:00,1171.4800000,1172.0500000,1171.0800000,1171.4600000,1149361
RI.RTSI,1,20180103,11:28:00,1171.4800000,1171.7500000,1171.1800000,1171.7100000,524874
RI.RTSI,1,20180103,11:29:00,1171.7100000,1171.7400000,1170.8000000,1171.4700000,756727
RI.RTSI,1,20180103,11:30:00,1171.4700000,1171.7200000,1171.3400000,1171.6700000,3207142
RI.RTSI,1,20180103,11:31:00,1171.7100000,1171.9100000,1171.2900000,1171.6500000,1678264
RI.RTSI,1,20180103,11:32:00,1171.6400000,1171.7100000,1170.8200000,1171.0600000,1631036
RI.RTSI,1,20180103,11:33:00,1170.9700000,1172.0800000,1170.8600000,1172.0800000,1211757
RI.RTSI,1,20180103,11:34:00,1172.1200000,1172.1300000,1171.3600000,1171.6200000,899151
RI.RTSI,1,20180103,11:35:00,1171.5500000,1172.0200000,1171.3800000,1171.9700000,928030
RI.RTSI,1,20180103,11:36:00,1171.9100000,1172.0700000,1171.4100000,1171.7500000,938733
RI.RTSI,1,20180103,11:37:00,1171.7600000,1171.8600000,1170.3700000,1170.9300000,1155324
RI.RTSI,1,20180103,11:38:00,1170.9700000,1171.2300000,1170.9600000,1171.0100000,500186
RI.RTSI,1,20180103,11:39:00,1171.0200000,1171.0300000,1170.6700000,1170.9800000,609343
RI.RTSI,1,20180103,11:40:00,1170.9800000,1171.3700000,1170.6500000,1171.2900000,966090
